# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
1.202100000000000222e+02,9.223138872813765321e-01,9.223138872813765321e-01,-3.612602338521845535e+00,-4.710096849320526413e-01,4.636666801794495085e-02,4.636666801794495085e-02
1.208050000000000068e+02,9.232041730116037348e-01,9.232041730116037348e-01,-3.646308308003391563e+00,-5.047156544135983358e-01,3.407297850296537277e-03,3.407297850296537277e-03
1.214000000000000199e+02,9.240114923399481706e-01,9.240114923399481706e-01,-3.679543641880266502e+00,-5.379509882904733864e-01,1.083858851563580632e-02,1.083858851563580632e-02
1.219950000000000045e+02,9.247310831873263304e-01,9.247310831873263304e-01,-3.712327716523416310e+00,-5.707350629336234160e-01,8.106483919982647446e-02,8.106483919982647446e-02
1.225900000000000176e+02,9.253611620747110855e-01,9.253611620747110855e-01,-3.744690365106985830e+00,-6.030977115171930469e-01,7.864906789627673644e-02,7.864906789627673644e-02
1.231850000000000023e+02,9.259018053707956941e-01,9.259018053707956941e-01,-3.776663740411493997e+00,-6.350710868217008809e-01,2.482639103138671588e-02,2.482639103138671588e-02
1.237800000000000153e+02,9.263543181698774553e-01,9.263543181698774553e-01,-3.808278008691055927e+00,-6.666853551012629220e-01,-1.147683164643346042e-02,-1.147683164643346042e-02
1.243750000000000000e+02,9.267229489986950064e-01,9.267229489986950064e-01,-3.839586742518945162e+00,-6.979940889291521566e-01,-1.346719994054702482e-02,-1.346719994054702482e-02
1.249700000000000131e+02,9.270086416536761353e-01,9.270086416536761353e-01,-3.870603260327604378e+00,-7.290106067378112620e-01,4.615918870586875264e-03,4.615918870586875264e-03
1.255649999999999977e+02,9.272106409715477060e-01,9.272106409715477060e-01,-3.901312446340994722e+00,-7.597197927512019389e-01,-9.642855076113543075e-03,-9.642855076113543075e-03
1.261600000000000108e+02,9.273343947826057088e-01,9.273343947826057088e-01,-3.931773694039912836e+00,-7.901810404501197205e-01,-1.415593533263215589e-02,-1.415593533263215589e-02
1.267549999999999955e+02,9.273814169787920614e-01,9.273814169787920614e-01,-3.961988219029231040e+00,-8.203955654394380348e-01,-2.363625341443570393e-02,-2.363625341443570393e-02
1.273500000000000085e+02,9.273539802816924693e-01,9.273539802816924693e-01,-3.991960141467484569e+00,-8.503674878776913415e-01,-3.041422507875310433e-02,-3.041422507875310433e-02
1.279449999999999932e+02,9.272560434071746016e-01,9.272560434071746016e-01,-4.021716189691352916e+00,-8.801235361015599112e-01,-1.230244844374315562e-02,-1.230244844374315562e-02
1.285400000000000205e+02,9.270899385861867126e-01,9.270899385861867126e-01,-4.051251355152050593e+00,-9.096587015622574768e-01,-2.904369842342244528e-03,-2.904369842342244528e-03
1.291349999999999909e+02,9.268591289265075694e-01,9.268591289265075694e-01,-4.080575931095024700e+00,-9.389832775052319169e-01,-1.118219118538512843e-02,-1.118219118538512843e-02
1.297300000000000182e+02,9.265680788444846661e-01,9.265680788444846661e-01,-4.109722000814197251e+00,-9.681293472244041354e-01,-6.848046651422116113e-04,-6.848046651422304764e-04
1.303249999999999886e+02,9.262185225940641198e-01,9.262185225940641198e-01,-4.138659245048110336e+00,-9.970665914583174416e-01,-4.163445284079222292e-02,-4.163445284079222292e-02
1.309200000000000159e+02,9.258156026103609992e-01,9.258156026103609992e-01,-4.167438045184848505e+00,-1.025845391595055833e+00,-2.237861050639926644e-02,-2.237861050639926644e-02
1.315149999999999864e+02,9.253612708715115431e-01,9.253612708715115431e-01,-4.196028081706309365e+00,-1.054435428116516471e+00,-2.636583580832807180e-02,-2.636583580832807180e-02
1.321100000000000136e+02,9.248598260521886383e-01,9.248598260521886383e-01,-4.224465269336930007e+00,-1.082872615747136891e+00,-1.579056102467412195e-02,-1.579056102467412195e-02
1.327049999999999841e+02,9.243135958876369518e-01,9.243135958876369518e-01,-4.252724718141752902e+00,-1.111132064551959786e+00,-2.766853779327014748e-02,-2.766853779327014748e-02
1.333000000000000114e+02,9.237263425050609156e-01,9.237263425050609156e-01,-4.280834778691543718e+00,-1.139242125101750602e+00,-1.459122062409781533e-02,-1.459122062409781533e-02
1.338949999999999818e+02,9.231007138981059956e-01,9.231007138981059956e-01,-4.308783782768202286e+00,-1.167191129178409170e+00,-3.450784470616064664e-02,-3.450784470616064664e-02
1.344900000000000091e+02,9.224399632011844874e-01,9.224399632011844874e-01,-4.336594172474235620e+00,-1.195001518884442060e+00,-2.215290171657718216e-02,-2.215290171657718216e-02
1.350850000000000080e+02,9.217464441526099783e-01,9.217464441526099783e-01,-4.364242981864373760e+00,-1.222650328274581311e+00,-4.146549778283785403e-02,-4.146549778283785403e-02
1.356800000000000068e+02,9.210232272603952053e-01,9.210232272603952053e-01,-4.391762416625110355e+00,-1.250169763035317461e+00,-5.007095617544687211e-02,-5.007095617544687211e-02
1.362750000000000057e+02,9.202726146122603978e-01,9.202726146122603978e-01,-4.419138290696564830e+00,-1.277545637106771714e+00,-5.890950062350259336e-02,-5.890950062350259336e-02
1.368700000000000045e+02,9.194970512286604336e-01,9.194970512286604336e-01,-4.446376175671373332e+00,-1.304783522081580660e+00,-5.461917267637654561e-02,-5.461917267637654561e-02
1.374650000000000034e+02,9.186988252155219303e-01,9.186988252155219303e-01,-4.473480397389089980e+00,-1.331887743799297086e+00,-4.411982789600199517e-02,-4.411982789600199517e-02
1.380600000000000023e+02,9.178800794490432624e-01,9.178800794490432624e-01,-4.500447375132008432e+00,-1.358854721542215538e+00,-3.789073922795803406e-02,-3.789073922795803406e-02
1.386550000000000011e+02,9.170430278070710317e-01,9.170430278070710317e-01,-4.527295943461904670e+00,-1.385703289872111332e+00,-2.439038332282122273e-02,-2.439038332282122273e-02
1.392500000000000000e+02,9.161898985271517137e-01,9.161898985271517137e-01,-4.554004734873290161e+00,-1.412412081283496823e+00,-3.301997504469835615e-02,-3.301997504469835615e-02
1.398450000000000273e+02,9.153228179825509958e-01,9.153228179825509958e-01,-4.580589987438888677e+00,-1.438997333849096005e+00,-6.984411065280804465e-03,-6.984411065280804465e-03
1.404399999999999977e+02,9.144438723561015836e-01,9.144438723561015836e-01,-4.607036286639981881e+00,-1.465443633050189431e+00,-4.397429163581561412e-02,-4.397429163581561412e-02
1.410350000000000250e+02,9.135548947574939627e-01,9.135548947574939627e-01,-4.633366224990191462e+00,-1.491773571400398346e+00,-5.399933049337276442e-02,-5.399933049337276442e-02
1.416299999999999955e+02,9.126577404207257826e-01,9.126577404207257826e-01,-4.659570018205496211e+00,-1.517977364615703539e+00,-4.700823140507427028e-02,-4.700823140507427028e-02
